run,total_import,total_charge,total_discharge,avg_soc
135,105632.3046,0.0,76.0,20.9122807
136,102329.22700000001,0.0,76.0,20.9122807
137,125409.04860000001,0.0,76.0,20.9122807
138,112326.6708,0.0,76.0,20.9122807
139,122666.27590000002,0.0,76.0,20.9122807
140,126348.3828,0.0,76.0,20.9122807
141,119407.6269,0.0,76.0,20.9122807
142,106115.5685,0.0,76.0,20.9122807
143,115574.31590000002,0.0,76.0,20.9122807
144,111471.23879999999,0.0,76.0,20.9122807
145,110558.83300000003,0.0,76.0,20.9122807
146,139100.1433,0.0,76.0,20.9122807
147,110573.14880000001,0.0,76.0,20.9122807
148,117953.547,0.0,76.0,20.9122807
149,96500.29669999998,0.0,76.0,20.9122807
150,136241.65399999998,0.0,76.0,20.9122807
151,122717.3771,0.0,76.0,20.9122807
152,118184.73729999998,0.0,76.0,20.9122807
153,104167.6749,0.0,76.0,20.9122807
154,110072.70050000002,0.0,76.0,20.9122807
155,121674.86500000002,0.0,76.0,20.9122807
156,126641.98469999999,0.0,76.0,20.9122807
157,122245.33149999999,0.0,76.0,20.9122807
158,117549.87079999999,0.0,76.0,20.9122807
159,128017.4128,0.0,76.0,20.9122807
160,121322.0293,0.0,76.0,20.9122807
161,120080.74690000001,0.0,76.0,20.9122807
162,125873.23280000001,0.0,76.0,20.9122807
163,100070.26279999998,0.0,76.0,20.9122807
164,105806.6824,0.0,76.0,20.9122807
165,123621.16299999999,0.0,76.0,20.9122807
166,112401.3584,0.0,76.0,20.9122807
167,119818.1798,0.0,76.0,20.9122807
168,106096.46599999999,0.0,76.0,20.9122807
169,120642.9961,0.0,76.0,20.9122807
170,91930.50070000002,0.0,76.0,20.9122807
171,112108.56270000001,0.0,76.0,20.9122807
172,137882.19049999997,0.0,76.0,20.9122807
173,105420.51019999999,0.0,76.0,20.9122807
174,92365.2221,0.0,76.0,20.9122807
175,112569.0796,0.0,76.0,20.9122807
176,104496.42910000001,0.0,76.0,20.9122807
177,121738.37719999999,0.0,76.0,20.9122807
178,114241.08469999999,0.0,76.0,20.9122807
179,106681.34319999999,0.0,76.0,20.9122807
180,110290.5368,0.0,76.0,20.9122807
181,127515.5878,0.0,76.0,20.9122807
182,105107.7877,0.0,76.0,20.9122807
183,111064.07969999999,0.0,76.0,20.9122807
184,111124.19039999999,0.0,76.0,20.9122807
185,107057.1635,0.0,76.0,20.9122807
186,116874.7022,0.0,76.0,20.9122807
187,106881.76999999999,0.0,76.0,20.9122807
188,121619.40430000001,0.0,76.0,20.9122807
189,129846.7002,0.0,76.0,20.9122807
190,107998.6477,0.0,76.0,20.9122807
191,105657.2177,0.0,76.0,20.9122807
192,103405.91410000001,0.0,76.0,20.9122807
193,114786.48550000001,0.0,76.0,20.9122807
194,122922.0279,0.0,76.0,20.9122807
195,93000.5195,0.0,76.0,20.9122807
196,107116.2995,0.0,76.0,20.9122807
197,118992.6089,0.0,76.0,20.9122807
198,119053.3103,0.0,76.0,20.9122807
199,121649.3128,0.0,76.0,20.9122807
